Neh 1:1
ἐπέγνων VZI-AAI1S- γιγνώσκω ἐπι
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
οὐκ D--------- οὐ
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
αὐτόν RD--ASM--- αὐτός
ὅτι C--------- ὅτι
ἡ RA--NSF--- ὁ
προφητεία N1A-NSF--- προφητεία
λόγος N2--NSM--- λόγος
κατ' P--------- κατά
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
Τωβιας N---NSM--- Τωβιας
καὶ C--------- καί
Σαναβαλλατ N---NSM--- Σαναβαλλατ
ἐμισθώσαντο VAI-AMI3P- μισθόω

Neh 6:13
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
ὄχλον N2--ASM--- ὄχλος
ὅπως C--------- ὅπως
φοβηθῶ VC--APS1S- φοβέω
καὶ C--------- καί
ποιήσω VA--AAS1S- ποιέω
οὕτως D--------- οὕτως
καὶ C--------- καί
ἁμάρτω VB--AAS1S- ἁμαρτάνω
καὶ C--------- καί
γένωμαι VB--AMS1S- γίγνομαι
αὐτοῖς RD--DPM--- αὐτός
εἰς P--------- εἰς
ὄνομα N3M-ASN--- ὄνομα
πονηρόν A1A-ASN--- πονηρός
ὅπως C--------- ὅπως
ὀνειδίσωσίν VA--AAS3P- ὀνειδίζω
με RP--AS---- ἐγώ

Neh 6:14
μνήσθητι VS--APD2S- μιμνήσκω
ὁ RA--NSM--- ὁ
θεός N2--VSM--- θεός
τῷ RA--DSM--- ὁ
Τωβια N---DSM--- Τωβια
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Σαναβαλλατ N---DSM--- Σαναβαλλατ
ὡς C--------- ὡς
τὰ RA--APN--- ὁ
ποιήματα N3M-APN--- ποίημα
αὐτοῦ RD--GSM--- αὐτός
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Νωαδια N---DSM--- Νωαδια
τῷ RA--DSM--- ὁ
προφήτῃ N1M-DSM--- προφήτης
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
καταλοίποις A1B-DPM--- κατάλοιπος
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
οἳ RR--NPM--- ὅς
ἦσαν V9--IAI3P- εἰμί
φοβερίζοντές V1--PAPNPM φοβερίζω
με RP--AS---- ἐγώ

Neh 6:15
καὶ C--------- καί
ἐτελέσθη VSI-API3S- τελέω
τὸ RA--NSN--- ὁ
τεῖχος N3E-NSN--- τεῖχος
πέμπτῃ A1--DSF--- πέμπτος
καὶ C--------- καί
εἰκάδι N3D-DSF--- εἰκάς
τοῦ RA--GSM--- ὁ
Ελουλ N---GSM--- Ελουλ
εἰς P--------- εἰς
πεντήκοντα M--------- πεντήκοντα
καὶ C--------- καί
δύο M--------- δύο
ἡμέρας N1A-APF--- ἡμέρα

Neh 6:16
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἡνίκα D--------- ἡνίκα
ἤκουσαν VAI-AAI3P- ἀκούω
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἐχθροὶ N2--NPM--- ἐχθρός
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐφοβήθησαν VCI-API3P- φοβέω
πάντα A3--NSN--- πᾶς
τὰ RA--NPN--- ὁ
ἔθνη N3E-NPN--- ἔθνος
τὰ RA--NPN--- ὁ
κύκλῳ N2--DSM--- κύκλος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐπέπεσεν VAI-AAI3S- πίπτω ἐπι
φόβος N2--NSM--- φόβος
σφόδρα D--------- σφόδρα
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἔγνωσαν VZI-AAI3P- γιγνώσκω
ὅτι C--------- ὅτι
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ἐγενήθη VCI-API3S- γίγνομαι
τελειωθῆναι VC--APN--- τελειόω
τὸ RA--ASN--- ὁ
ἔργον N2N-ASN--- ἔργον
τοῦτο RD--ASN--- οὗτος

Neh 6:17
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ἐκείναις RD--DPF--- ἐκεῖνος
ἀπὸ P--------- ἀπό
πολλῶν A1--GPM--- πολύς
ἐντίμων A1B-GPM--- ἔντιμος
Ιουδα N---GSM--- Ἰουδά
ἐπιστολαὶ N1--NPF--- ἐπιστολή
ἐπορεύοντο V1I-IMI3P- πορεύομαι
πρὸς P--------- πρός
Τωβιαν N---ASM--- Τωβιαν
καὶ C--------- καί
αἱ RA--NPF--- ὁ
Τωβια N---GSM--- Τωβια
ἤρχοντο V1I-IMI3P- ἄρχω
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός

Neh 6:18
ὅτι C--------- ὅτι
πολλοὶ A1--NPM--- πολύς
ἐν P--------- ἐν
Ιουδα N---DSM--- Ἰουδά
ἔνορκοι A1B-NPM--- ἔνορκος
ἦσαν V9--IAI3P- εἰμί
αὐτῷ RD--DSM--- αὐτός
ὅτι C--------- ὅτι
γαμβρὸς N2--NSM--- γαμβρός
ἦν V9--IAI3S- εἰμί
τοῦ RA--GSM--- ὁ
Σεχενια N---GSM--- Σεχενια
υἱοῦ N2--GSM--- υἱός
Ηραε N---GSM--- Ηραε
καὶ C--------- καί
Ιωαναν N---GSM--- Ιωαναν
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ἔλαβεν VBI-AAI3S- λαμβάνω
τὴν RA--ASF--- ὁ
θυγατέρα N3--ASF--- θυγάτηρ
Μεσουλαμ N---GSM--- Μεσουλαμ
υἱοῦ N2--GSM--- υἱός
Βαραχια N---GSM--- Βαραχια
εἰς P--------- εἰς
γυναῖκα N3K-ASF--- γυνή

Neh 6:19
καὶ C--------- καί
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
αὐτοῦ RD--GSM--- αὐτός
ἦσαν V9--IAI3P- εἰμί
λέγοντες V1--PAPNPM λέγω
πρός P--------- πρός
με RP--AS---- ἐγώ
καὶ C--------- καί
λόγους N2--APM--- λόγος
μου RP--GS---- ἐγώ
ἦσαν V9--IAI3P- εἰμί
ἐκφέροντες V1--PAPNPM φέρω ἐκ
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἐπιστολὰς N1--APF--- ἐπιστολή
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
Τωβιας N---NSM--- Τωβιας
φοβερίσαι VA--AAN--- φοβερίζω
με RP--AS---- ἐγώ

Neh 7:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἡνίκα D--------- ἡνίκα
ᾠκοδομήθη VCI-API3S- οἰκοδομέω
τὸ RA--NSN--- ὁ
τεῖχος N3E-NSN--- τεῖχος
καὶ C--------- καί
ἔστησα VAI-AAI1S- ἵστημι
τὰς RA--APF--- ὁ
θύρας N1A-APF--- θύρα
καὶ C--------- καί
ἐπεσκέπησαν VDI-API3P- σκέπτω ἐπι
οἱ RA--NPM--- ὁ
πυλωροὶ N2--NPM--- πυλωρός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ᾄδοντες V1--PAPNPM ᾄδω
καὶ C--------- καί
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευίτης

Neh 7:2
καὶ C--------- καί
ἐνετειλάμην VAI-AMI1S- τέλλομαι ἐν
τῷ RA--DSM--- ὁ
Ανανια N---DSM--- Ανανια
ἀδελφῷ N2--DSM--- ἀδελφός
μου RP--GS---- ἐγώ
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Ανανια N---DSM--- Ανανια
ἄρχοντι N3--DSM--- ἄρχων
τῆς RA--GSF--- ὁ
βιρα N---GSF--- βιρα
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
ὅτι C--------- ὅτι
αὐτὸς RD--NSM--- αὐτός
ὡς C--------- ὡς
ἀνὴρ N3--NSM--- ἀνήρ
ἀληθὴς A3H-NSM--- ἀληθής
καὶ C--------- καί
φοβούμενος V2--PMPNSM φοβέω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
παρὰ P--------- παρά
πολλούς A1--APM--- πολύς

Neh 7:3
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
οὐκ D--------- οὐ
ἀνοιγήσονται VD--FPI3P- οἴγω ἀνα
πύλαι N1--NPF--- πύλη
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἕως C--------- ἕως
ἅμα D--------- ἅμα
τῷ RA--DSM--- ὁ
ἡλίῳ N2--DSM--- ἥλιος
καὶ C--------- καί
ἔτι D--------- ἔτι
αὐτῶν RD--GPM--- αὐτός
γρηγορούντων V2--PAPGPM γρηγορέω
κλειέσθωσαν V1--PMD3P- κλείω
αἱ RA--NPF--- ὁ
θύραι N1A-NPF--- θύρα
καὶ C--------- καί
σφηνούσθωσαν VS--APD3P- σφηνόω
καὶ C--------- καί
στῆσον VA--AAD2S- ἵστημι
προφύλακας N3K-APF--- προφύλαξ
οἰκούντων V2--PAPGPM οἰκέω
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
ἀνὴρ N3--NSM--- ἀνήρ
ἐν P--------- ἐν
προφυλακῇ N1--DSF--- προφυλακή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀνὴρ N3--NSM--- ἀνήρ
ἀπέναντι P--------- ἀπέναντι
οἰκίας N1A-GSF--- οἰκία
αὐτοῦ RD--GSM--- αὐτός

Neh 7:4
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πόλις N3I-NSF--- πόλις
πλατεῖα A3U-NSF--- πλατύς
καὶ C--------- καί
μεγάλη A1--NSF--- μέγας
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ὀλίγος A1--NSM--- ὀλίγος
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἦσαν V9--IAI3P- εἰμί
οἰκίαι N1A-NPF--- οἰκία
ᾠκοδομημέναι VM--XPPNPF οἰκοδομέω

Neh 7:5
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
μου RP--GS---- ἐγώ
καὶ C--------- καί
συνῆξα VAI-AAI1S- ἄγω συν
τοὺς RA--APM--- ὁ
ἐντίμους A1B-APM--- ἔντιμος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἄρχοντας N3--APM--- ἄρχων
καὶ C--------- καί
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
εἰς P--------- εἰς
συνοδίας N1A-APF--- συνοδία
καὶ C--------- καί
εὗρον VB--AAI1S- εὑρίσκω
βιβλίον N2N-ASN--- βιβλίον
τῆς RA--GSF--- ὁ
συνοδίας N1A-GSF--- συνοδία
οἳ RR--NPM--- ὅς
ἀνέβησαν VZI-AAI3P- βαίνω ἀνα
ἐν P--------- ἐν
πρώτοις A1--DPMS-- πρῶτος
καὶ C--------- καί
εὗρον VB--AAI1S- εὑρίσκω
γεγραμμένον VP--XMPASM γράφω
ἐν P--------- ἐν
αὐτῷ RD--DSN--- αὐτός

Neh 7:6
καὶ C--------- καί
οὗτοι RD--NPM--- οὗτος
υἱοὶ N2--NPM--- υἱός
τῆς RA--GSF--- ὁ
χώρας N1A-GSF--- χώρα
οἱ RA--NPM--- ὁ
ἀναβάντες VZ--AAPNPM βαίνω ἀνα
ἀπὸ P--------- ἀπό
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
τῆς RA--GSF--- ὁ
ἀποικίας N1A-GSF--- ἀποικία
ἧς RR--GSF--- ὅς
ἀπῴκισεν VAI-AAI3S- οἰκίζω ἀπο
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
βασιλεὺς N3V-NSM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
καὶ C--------- καί
ἐπέστρεψαν VAI-AAI3P- στρέφω ἐπι
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
καὶ C--------- καί
εἰς P--------- εἰς
Ιουδα N---ASM--- Ἰουδά
ἀνὴρ N3--NSM--- ἀνήρ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
αὐτοῦ RD--GSM--- αὐτός

Neh 7:7
μετὰ P--------- μετά
Ζοροβαβελ N---GSM--- Ζοροβαβελ
καὶ C--------- καί
Ἰησοῦ N---GSM--- Ἰησοῦς
καὶ C--------- καί
Νεεμια N---GSM--- Νεεμια
Αζαρια N---GSM--- Αζαρια
Δαεμια N---GSM--- Δαεμια
Ναεμανι N---GSM--- Ναεμανι
Μαρδοχαιος N---GSM--- Μαρδοχαιος
Βαλσαν N---GSM--- Βαλσαν
Μασφαραθ N---GSM--- Μασφαραθ
Εσδρα N---GSM--- Εσδρα
Βαγοι N---GSM--- Βαγοι
Ναουμ N---GSM--- Ναουμ
Βαανα N---GSM--- Βαανα
Μασφαρ N---GSM--- Μασφαρ
ἄνδρες N3--NPM--- ἀνήρ
λαοῦ N2--GSM--- λαός
Ισραηλ N---GSM--- Ἰσραήλ

Neh 7:8
υἱοὶ N2--NPM--- υἱός
Φορος N---GSM--- Φορος
δισχίλιοι A1A-NPM--- δισχίλιοι
ἑκατὸν M--------- ἑκατόν
ἑβδομήκοντα M--------- ἑβδομήκοντα
δύο M--------- δύο

Neh 7:9
υἱοὶ N2--NPM--- υἱός
Σαφατια N---GSM--- Σαφατια
τριακόσιοι A1A-NPM--- τριακόσιοι
ἑβδομήκοντα M--------- ἑβδομήκοντα
δύο M--------- δύο

Neh 7:10
υἱοὶ N2--NPM--- υἱός
Ηρα N---GSM--- Ηρα
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
πεντήκοντα M--------- πεντήκοντα
δύο M--------- δύο

Neh 7:11
υἱοὶ N2--NPM--- υἱός
Φααθμωαβ N---GSM--- Φααθμωαβ
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ἰησοῦ N---GSM--- Ἰησοῦς
καὶ C--------- καί
Ιωαβ N---GSM--- Ιωαβ
δισχίλιοι A1A-NPM--- δισχίλιοι
ὀκτακόσιοι A1A-NPM--- ὀκτακόσιοι
δέκα M--------- δέκα
ὀκτώ M--------- ὀκτώ

Neh 7:12
υἱοὶ N2--NPM--- υἱός
Αιλαμ N---GSM--- Αιλαμ
χίλιοι A1A-NPM--- χίλιοι
διακόσιοι A1A-NPM--- διακόσιοι
πεντήκοντα M--------- πεντήκοντα
τέσσαρες A3--NPM--- τέσσαρες

Neh 7:13
υἱοὶ N2--NPM--- υἱός
Ζαθουα N---GSM--- Ζαθουα
ὀκτακόσιοι A1A-NPM--- ὀκτακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
πέντε M--------- πέντε

Neh 7:14
υἱοὶ N2--NPM--- υἱός
Ζακχου N---GSM--- Ζακχου
ἑπτακόσιοι A1A-NPM--- ἑπτακόσιοι
ἑξήκοντα M--------- ἑξήκοντα

Neh 7:15
υἱοὶ N2--NPM--- υἱός
Βανουι N---GSM--- Βανουι
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
ὀκτώ M--------- ὀκτώ

Neh 7:16
υἱοὶ N2--NPM--- υἱός
Βηβι N---GSM--- Βηβι
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
εἴκοσι M--------- εἴκοσι
ὀκτώ M--------- ὀκτώ

Neh 7:17
υἱοὶ N2--NPM--- υἱός
Ασγαδ N---GSM--- Ασγαδ
δισχίλιοι A1A-NPM--- δισχίλιοι
τριακόσιοι A1A-NPM--- τριακόσιοι
εἴκοσι M--------- εἴκοσι
δύο M--------- δύο

Neh 7:18
υἱοὶ N2--NPM--- υἱός
Αδενικαμ N---GSM--- Αδενικαμ
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
ἑξήκοντα M--------- ἑξήκοντα
ἑπτά M--------- ἑπτά

Neh 7:19
υἱοὶ N2--NPM--- υἱός
Βαγοι N---GSM--- Βαγοι
δισχίλιοι A1A-NPM--- δισχίλιοι
ἑξήκοντα M--------- ἑξήκοντα
ἑπτά M--------- ἑπτά

Neh 7:20
υἱοὶ N2--NPM--- υἱός
Ηδιν N---GSM--- Ηδιν
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
πεντήκοντα M--------- πεντήκοντα
πέντε M--------- πέντε

Neh 7:21
υἱοὶ N2--NPM--- υἱός
Ατηρ N---GSM--- Ατηρ
τῷ RA--DSM--- ὁ
Εζεκια N---DSM--- Εζεκια
ἐνενήκοντα M--------- ἐνενήκοντα
ὀκτώ M--------- ὀκτώ

Neh 7:22
υἱοὶ N2--NPM--- υἱός
Ησαμ N---GSM--- Ησαμ
τριακόσιοι A1A-NPM--- τριακόσιοι
εἴκοσι M--------- εἴκοσι
ὀκτώ M--------- ὀκτώ

Neh 7:23
υἱοὶ N2--NPM--- υἱός
Βεσι N---GSM--- Βεσι
τριακόσιοι A1A-NPM--- τριακόσιοι
εἴκοσι M--------- εἴκοσι
τέσσαρες A3--NPM--- τέσσαρες

Neh 7:24
υἱοὶ N2--NPM--- υἱός
Αριφ N---GSM--- Αριφ
ἑκατὸν M--------- ἑκατόν
δώδεκα M--------- δώδεκα

Neh 7:25
υἱοὶ N2--NPM--- υἱός
Γαβαων N---GSM--- Γαβαων
ἐνενήκοντα M--------- ἐνενήκοντα
πέντε M--------- πέντε

Neh 7:26
υἱοὶ N2--NPM--- υἱός
Βαιθλεεμ N---GSM--- Βαιθλεεμ
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
τρεῖς M---NPM--- τρεῖς
υἱοὶ N2--NPM--- υἱός
Νετωφα N---GSM--- Νετωφα
πεντήκοντα M--------- πεντήκοντα
ἕξ M--------- ἕξ

Neh 7:27
υἱοὶ N2--NPM--- υἱός
Αναθωθ N---GSM--- Αναθωθ
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
ὀκτώ M--------- ὀκτώ

Neh 7:28
ἄνδρες N3--NPM--- ἀνήρ
Βηθασμωθ N---GSM--- Βηθασμωθ
τεσσαράκοντα M--------- τεσσαράκοντα
δύο M--------- δύο

Neh 7:29
ἄνδρες N3--NPM--- ἀνήρ
Καριαθιαριμ N---GSM--- Καριαθιαριμ
Καφιρα N---NSM--- Καφιρα
καὶ C--------- καί
Βηρωθ N---NSM--- Βηρωθ
ἑπτακόσιοι A1A-NPM--- ἑπτακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
τρεῖς M---NPM--- τρεῖς

Neh 7:30
ἄνδρες N3--NPM--- ἀνήρ
Αραμα N---GSM--- Αραμα
καὶ C--------- καί
Γαβαα N---GSM--- Γαβαα
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
εἴκοσι M--------- εἴκοσι
εἷς M---NSM--- εἷς

Neh 7:31
ἄνδρες N3--NPM--- ἀνήρ
Μαχεμας N---GSM--- Μαχεμας
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
δύο M--------- δύο

Neh 7:32
ἄνδρες N3--NPM--- ἀνήρ
Βηθηλ N---GSM--- Βηθηλ
καὶ C--------- καί
Αια N---GSM--- Αια
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
τρεῖς M---NPM--- τρεῖς

Neh 7:33
ἄνδρες N3--NPM--- ἀνήρ
Ναβι-ααρ N---GSM--- Ναβι-ααρ
πεντήκοντα M--------- πεντήκοντα
δύο M--------- δύο

Neh 7:34
ἄνδρες N3--NPM--- ἀνήρ
Ηλαμ-ααρ N---GSM--- Ηλαμ-ααρ
χίλιοι A1A-NPM--- χίλιοι
διακόσιοι A1A-NPM--- διακόσιοι
πεντήκοντα M--------- πεντήκοντα
τέσσαρες A3--NPM--- τέσσαρες

Neh 7:35
υἱοὶ N2--NPM--- υἱός
Ηραμ N---GSM--- Ηραμ
τριακόσιοι A1A-NPM--- τριακόσιοι
εἴκοσι M--------- εἴκοσι

Neh 7:36
υἱοὶ N2--NPM--- υἱός
Ιεριχω N---GSM--- Ιεριχω
τριακόσιοι A1A-NPM--- τριακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
πέντε M--------- πέντε

Neh 7:37
υἱοὶ N2--NPM--- υἱός
Λοδ N---GSM--- Λοδ
Αδιδ N---GSM--- Αδιδ
καὶ C--------- καί
Ωνω N---GSM--- Ωνω
ἑπτακόσιοι A1A-NPM--- ἑπτακόσιοι
εἴκοσι M--------- εἴκοσι
εἷς M---NSM--- εἷς

Neh 7:38
υἱοὶ N2--NPM--- υἱός
Σαναα N---GSM--- Σαναα
τρισχίλιοι A1A-NPM--- τρισχίλιοι
ἐννακόσιοι A1A-NPM--- ἐννακόσιοι
τριάκοντα M--------- τριάκοντα

Neh 7:39
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
υἱοὶ N2--NPM--- υἱός
Ιωδαε N---GSM--- Ιωδαε
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
Ἰησοῦ N---GSM--- Ἰησοῦς
ἐννακόσιοι A1A-NPM--- ἐννακόσιοι
ἑβδομήκοντα M--------- ἑβδομήκοντα
τρεῖς M---NPM--- τρεῖς

Neh 7:40
υἱοὶ N2--NPM--- υἱός
Εμμηρ N---GSM--- Εμμηρ
χίλιοι A1A-NPM--- χίλιοι
πεντήκοντα M--------- πεντήκοντα
δύο M---NDM--- δύο

Neh 7:41
υἱοὶ N2--NPM--- υἱός
Φασσουρ N---GSM--- Φασσουρ
χίλιοι A1A-NPM--- χίλιοι
διακόσιοι A1A-NPM--- διακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
ἑπτά M--------- ἑπτά

Neh 7:42
υἱοὶ N2--NPM--- υἱός
Ηραμ N---GSM--- Ηραμ
χίλιοι A1A-NPM--- χίλιοι
δέκα M--------- δέκα
ἑπτά M--------- ἑπτά

Neh 7:43
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευίτης
υἱοὶ N2--NPM--- υἱός
Ἰησοῦ N---GSM--- Ἰησοῦς
τῷ RA--DSM--- ὁ
Καδμιηλ N---DSM--- Καδμιηλ
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
τοῦ RA--GSM--- ὁ
Ουδουια N---GSM--- Ουδουια
ἑβδομήκοντα M--------- ἑβδομήκοντα
τέσσαρες A3--NPM--- τέσσαρες

Neh 7:44
οἱ RA--NPM--- ὁ
ᾄδοντες V1--PAPNPM ᾄδω
